id,serviceScore, shiftStartTime, shiftEndTime,shiftDuration,currentLat,currentLon,headingLat,headingLon,available,emptyCarMode,currentServePaxId,timeUntilAvailable,online, number of served pax,totIncome,avg income per pax
9474,22,2860,10316,7456,2365,1129,-1,-1,true,2,-1,-100,true,0,0,NaN
8377,96,2860,10962,8102,0,1333,-1,-1,true,2,-1,-100,true,0,0,NaN
5032,56,2860,10666,7806,1587,1139,-1,-1,true,2,-1,-100,true,0,0,NaN
2329,89,2862,11208,8346,292,1692,-1,-1,true,2,-1,-100,true,0,0,NaN
1956,57,1621,9873,8252,849,1357,-1,-1,true,2,-1,0,true,1,168,168.0
8871,136,2864,10258,7394,829,732,-1,-1,true,2,-1,-100,true,0,0,NaN
3946,22,52,8919,8867,891,2129,-1,-1,true,2,-1,0,true,2,440,220.0
11707,56,2872,10190,7318,0,1055,-1,-1,true,2,-1,-100,true,0,0,NaN
1747,92,2074,10237,8163,1012,1431,-1,-1,true,2,-1,0,true,2,303,151.5
8944,80,2873,11057,8184,2158,355,-1,-1,true,2,-1,-100,true,0,0,NaN
11830,179,2277,10452,8175,1120,360,-1,-1,true,2,-1,0,true,1,167,167.0
9971,208,2877,11614,8737,240,1164,-1,-1,true,2,-1,-100,true,0,0,NaN
9575,11,2877,10482,7605,668,1512,-1,-1,true,2,-1,-100,true,0,0,NaN
3965,58,2878,11363,8485,1597,411,-1,-1,true,2,-1,-100,true,0,0,NaN
9099,44,829,8175,7346,1612,1794,-1,-1,true,2,-1,0,true,2,345,172.5
8237,49,1835,9067,7232,747,2843,-1,-1,true,2,-1,0,true,3,459,153.0
11932,82,2678,9975,7297,1416,816,-1,-1,true,2,-1,0,true,1,104,104.0
7607,108,2882,11216,8334,1119,688,-1,-1,true,2,-1,-100,true,0,0,NaN
6337,88,2882,10364,7482,852,1135,-1,-1,true,2,-1,-100,true,0,0,NaN
5174,25,1888,9714,7826,843,437,-1,-1,true,2,-1,0,true,1,29,29.0
10870,32,2886,11183,8297,1815,678,-1,-1,true,2,-1,-100,true,0,0,NaN
5559,86,2890,11739,8849,625,1969,-1,-1,true,2,-1,-100,true,0,0,NaN
4723,56,2892,10883,7991,809,1718,-1,-1,true,2,-1,-100,true,0,0,NaN
1406,84,1849,10498,8649,1123,1108,-1,-1,true,2,-1,0,true,1,206,206.0
9768,174,2894,11329,8435,240,541,-1,-1,true,2,-1,-100,true,0,0,NaN
11358,33,1452,10312,8860,1037,1477,-1,-1,true,2,-1,0,true,2,265,132.5
11599,95,2899,11219,8320,196,1656,-1,-1,true,2,-1,-100,true,0,0,NaN
4395,23,2474,10199,7725,1867,1560,-1,-1,true,2,-1,0,true,1,108,108.0
9970,142,2906,10848,7942,773,1604,-1,-1,true,2,-1,-100,true,0,0,NaN
8516,131,2544,10290,7746,977,1703,-1,-1,true,2,-1,0,true,1,122,122.0
4511,41,1922,9287,7365,946,2202,-1,-1,true,2,-1,0,true,2,267,133.5
10614,70,2907,11907,9000,593,2065,-1,-1,true,2,-1,-100,true,0,0,NaN
7473,44,2357,10667,8310,1672,1578,-1,-1,true,2,-1,0,true,1,31,31.0
7671,39,2908,10536,7628,1652,424,-1,-1,true,2,-1,-100,true,0,0,NaN
1262,86,2908,11886,8978,481,1284,-1,-1,true,2,-1,-100,true,0,0,NaN
4682,151,2909,11123,8214,759,1288,-1,-1,true,2,-1,-100,true,0,0,NaN
3400,40,2909,11120,8211,1255,2457,-1,-1,true,2,-1,-100,true,0,0,NaN
530,24,2910,11207,8297,222,856,-1,-1,true,2,-1,-100,true,0,0,NaN
10908,81,1830,10172,8342,15,2384,-1,-1,true,2,-1,0,true,2,388,194.0
11255,59,1907,9184,7277,2544,338,-1,-1,true,2,-1,0,true,1,154,154.0
11632,8,2911,11069,8158,1294,1382,-1,-1,true,2,-1,-100,true,0,0,NaN
11048,40,2911,10267,7356,1016,2233,-1,-1,true,2,-1,-100,true,0,0,NaN
11432,60,2912,10453,7541,444,1064,-1,-1,true,2,-1,-100,true,0,0,NaN
8667,49,2912,10712,7800,720,1384,-1,-1,true,2,-1,-100,true,0,0,NaN
10803,91,2914,10977,8063,972,1931,-1,-1,true,2,-1,-100,true,0,0,NaN
243,112,2917,11704,8787,504,1024,-1,-1,true,2,-1,-100,true,0,0,NaN
8747,87,2920,11739,8819,1565,1014,-1,-1,true,2,-1,-100,true,0,0,NaN
4316,62,2920,10728,7808,269,2065,-1,-1,true,2,-1,-100,true,0,0,NaN
9180,113,2715,11241,8526,1278,875,-1,-1,true,2,-1,0,true,1,144,144.0
